MsgID.LOCAL_VELOCITY,168.3920000,0.0003614,-0.0000780,0.0000163
MsgID.GLOBAL_POSITION,0.0000000,-122.3976945,37.7937046,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.6420000,136.0252533,-21.4468555,-0.1190819
MsgID.LOCAL_VELOCITY,168.6420000,0.0003655,-0.0000680,0.0000262
MsgID.GLOBAL_POSITION,0.0000000,-122.3976941,37.7937047,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.8920000,136.0313721,-21.4078560,-0.1120929
MsgID.LOCAL_VELOCITY,168.8920000,0.0002909,0.0005623,0.0000589
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976933,37.7937033,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.1430000,135.8769531,-21.3391171,-0.0941942
MsgID.LOCAL_VELOCITY,169.1430000,0.0003536,-0.0000714,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976921,37.7937022,0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.3930000,135.7526703,-21.2264233,-0.0685898
MsgID.LOCAL_VELOCITY,169.3930000,0.0003588,-0.0000706,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3976948,37.7937022,0.0370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.6430000,135.7544861,-21.4681988,-0.0374098
MsgID.LOCAL_VELOCITY,169.6430000,0.0003643,-0.0000661,0.0000399
MsgID.GLOBAL_POSITION,0.0000000,-122.3976936,37.7937018,0.0010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.8930000,135.7059784,-21.3618870,-0.0016648
